"Temperatura","Humedad","VientoVelocidad","Precipitation","PresionAtmosferica","Localizacion","TipoClima","Estacion"
39,96,8.5,71,1011.43,"Llanura","Nublado","Primavera"
30,64,7,16,1018.72,"Montania","Soleado","Primavera"
38,83,1.5,82,1026.25,"Costa","Soleado","Primavera"
32,55,3.5,26,1010.03,"Llanura","Nublado","Verano"
3,85,6,96,984.46,"Llanura","Nevado","Invierno"
28,74,8.5,107,1012.13,"Costa","Soleado","Invierno"
35,45,6,86,879.88,"Montania","Nublado","Primavera"
38,43,2,16,1029.16,"Llanura","Soleado","Otonio"
12,59,10.5,25,1016.08,"Montania","Nublado","Otonio"
10,50,6.5,46,1000.44,"Montania","Nublado","Verano"
30,27,7,13,1016.38,"Llanura","Soleado","Primavera"
33,51,0.5,27,1009.18,"Costa","Nublado","Otonio"
43,46,0.5,15,1025.8,"Montania","Soleado","Primavera"
13,102,12,72,1012.25,"Llanura","Soleado","Verano"
-10,67,8.5,75,991.53,"Montania","Nevado","Invierno"
-7,88,12.5,98,980.31,"Llanura","Nevado","Invierno"
33,36,7.5,18,1014.29,"Montania","Soleado","Verano"
26,73,13.5,29,1012.02,"Llanura","Nublado","Verano"
38,83,7,101,1017.94,"Montania","Nublado","Primavera"
17,72,7.5,62,1010.16,"Montania","Lluvioso","Verano"
40,57,4,12,1020.73,"Costa","Soleado","Invierno"
24,61,6.5,3,1018.15,"Montania","Soleado","Otonio"
30,70,16,54,1007.75,"Montania","Lluvioso","Invierno"
28,85,7,97,991.07,"Costa","Lluvioso","Primavera"
2,61,16.5,63,995.74,"Llanura","Nevado","Invierno"
15,97,23,91,1009.36,"Montania","Lluvioso","Invierno"
29,69,3,15,1012.09,"Llanura","Soleado","Invierno"
35,21,10,6,1026.81,"Costa","Soleado","Otonio"
11,90,25.5,76,996.17,"Montania","Lluvioso","Invierno"
-9,49,1.5,58,1132.2,"Montania","Nevado","Primavera"
27,64,11.5,37,1017.27,"Costa","Nublado","Otonio"
36,22,1,0,1028.63,"Montania","Soleado","Verano"
42,64,2,18,1028.55,"Montania","Soleado","Otonio"
21,43,10,11,1019.41,"Montania","Soleado","Primavera"
22,50,0,18,1016.5,"Costa","Soleado","Verano"
33,66,9,18,1014.34,"Montania","Nublado","Otonio"
26,91,9.5,82,1019.42,"Montania","Lluvioso","Verano"
25,55,8.5,37,1014.49,"Llanura","Nublado","Verano"
22,95,13,90,997.97,"Costa","Lluvioso","Otonio"
41,85,9,101,1017.89,"Montania","Nublado","Verano"
31,70,0.5,69,1074.07,"Llanura","Soleado","Primavera"
16,84,18.5,54,996.12,"Costa","Lluvioso","Primavera"
10,64,14,18,1011.96,"Costa","Nublado","Primavera"
15,55,1.5,32,1009.01,"Llanura","Nublado","Otonio"
24,52,9,29,1007.84,"Montania","Nublado","Otonio"
25,85,9,67,995.4,"Montania","Lluvioso","Invierno"
25,89,1.5,87,1017.16,"Montania","Soleado","Verano"
24,47,8,17,1025.22,"Montania","Soleado","Verano"
2,97,2,89,993.14,"Llanura","Nevado","Invierno"
21,54,3,17,1026.15,"Montania","Soleado","Verano"
2,81,13.5,57,983.36,"Llanura","Nevado","Invierno"
11,52,6,97,1063.39,"Llanura","Nevado","Verano"
31,62,6.5,84,1013.61,"Llanura","Lluvioso","Primavera"
33,31,6.5,18,1022.53,"Costa","Soleado","Verano"
34,47,5,4,1027.53,"Llanura","Soleado","Primavera"
21,66,13.5,29,1018.98,"Montania","Nublado","Otonio"
28,68,18,90,992.83,"Montania","Lluvioso","Invierno"
33,62,10,83,1009.48,"Llanura","Lluvioso","Verano"
25,96,6,90,1006.67,"Montania","Lluvioso","Otonio"
27,73,9.5,47,1017.82,"Costa","Nublado","Verano"
49,75,11.5,82,1029.09,"Costa","Soleado","Verano"
-5,73,12,63,983.83,"Llanura","Nevado","Invierno"
31,62,5.5,99,1019.92,"Montania","Lluvioso","Verano"
-7,78,10,96,999.99,"Llanura","Nevado","Invierno"
27,43,1,8,1022.48,"Montania","Soleado","Verano"
-7,93,9,60,995.63,"Llanura","Nevado","Invierno"
15,81,28.5,71,1008,"Llanura","Nublado","Invierno"
30,64,6,67,1009.12,"Costa","Lluvioso","Verano"
19,93,14.5,57,1018.44,"Llanura","Lluvioso","Invierno"
32,38,11,15,824.71,"Llanura","Nevado","Otonio"
17,88,18,83,1026.94,"Montania","Soleado","Primavera"
23,88,11.5,65,1000.74,"Montania","Lluvioso","Invierno"
28,35,9.5,0,1023.62,"Costa","Soleado","Invierno"
-4,87,5,54,981.02,"Montania","Nevado","Invierno"
31,72,17,96,1013.85,"Llanura","Nublado","Invierno"
40,66,8,5,1019.82,"Montania","Soleado","Otonio"
-3,82,0,65,991.66,"Llanura","Nevado","Invierno"
22,65,6,14,1010.17,"Costa","Soleado","Otonio"
33,79,4.5,43,1007.94,"Costa","Nublado","Primavera"
29,47,8.5,2,1027.33,"Llanura","Soleado","Verano"
13,80,15.5,59,1012.06,"Montania","Lluvioso","Otonio"
27,39,5,16,1021.61,"Montania","Soleado","Otonio"
38,75,0.5,79,1057.69,"Llanura","Lluvioso","Verano"
20,48,9.5,6,1015.16,"Montania","Soleado","Otonio"
19,82,7,85,1008.5,"Costa","Lluvioso","Verano"
18,70,5,94,1012.87,"Montania","Lluvioso","Primavera"
18,60,12.5,42,822.66,"Montania","Lluvioso","Verano"
1,81,9.5,63,983.99,"Montania","Nevado","Invierno"
22,69,1,19,1011.5,"Montania","Nublado","Otonio"
-10,70,2.5,56,989.29,"Montania","Nevado","Invierno"
32,61,5.5,53,995.09,"Llanura","Lluvioso","Verano"
41,29,8,17,1011.53,"Llanura","Soleado","Primavera"
31,65,1.5,18,1008.47,"Llanura","Nublado","Verano"
19,62,1,14,1016.5,"Costa","Nublado","Otonio"
-3,92,28,99,987.7,"Montania","Nevado","Invierno"
-1,83,18,73,983.46,"Llanura","Nevado","Invierno"
26,76,9,68,1004.27,"Llanura","Lluvioso","Primavera"
20,96,14,94,997.77,"Montania","Lluvioso","Verano"
23,52,1,36,1017.92,"Montania","Nublado","Primavera"
3,81,2.5,89,992.78,"Montania","Nevado","Invierno"
20,95,16,91,1016.14,"Montania","Lluvioso","Verano"
29,77,0.5,91,934.49,"Llanura","Soleado","Otonio"
2,77,6.5,75,998,"Montania","Nevado","Invierno"
16,67,6.5,45,1008.69,"Costa","Nublado","Verano"
46,94,4,90,1022.88,"Montania","Soleado","Primavera"
-2,92,1,71,998.01,"Llanura","Nevado","Invierno"
20,50,6.5,21,1013.93,"Llanura","Nublado","Otonio"
22,48,6,15,1020,"Llanura","Soleado","Primavera"
29,50,5.5,13,1002.04,"Llanura","Nublado","Otonio"
40,39,9.5,15,1029.84,"Costa","Soleado","Otonio"
33,25,4,3,1027.6,"Costa","Soleado","Primavera"
31,87,11,54,995.87,"Montania","Lluvioso","Primavera"
41,72,2.5,26,973.08,"Llanura","Lluvioso","Primavera"
33,77,1,22,1018.78,"Montania","Nublado","Invierno"
-5,68,0.5,96,992.19,"Montania","Nevado","Invierno"
13,62,14,13,1003.74,"Llanura","Nublado","Otonio"
13,75,9.5,40,1005.39,"Llanura","Nublado","Otonio"
15,105,7.5,75,1006.45,"Llanura","Nublado","Verano"
31,86,13.5,78,999.25,"Llanura","Lluvioso","Invierno"
26,60,11.5,50,995.67,"Llanura","Lluvioso","Verano"
44,25,1,6,1016.02,"Costa","Soleado","Verano"
28,93,12.5,50,997.24,"Costa","Lluvioso","Verano"
18,88,15.5,88,997.61,"Llanura","Lluvioso","Invierno"
30,77,12,51,1007.88,"Llanura","Lluvioso","Primavera"
24,50,3.5,10,1017.18,"Montania","Nublado","Verano"
36,32,6,2,1026.15,"Costa","Soleado","Primavera"
35,49,9,14,1010.52,"Costa","Soleado","Otonio"
26,43,7,18,1024.37,"Montania","Soleado","Verano"
16,59,11.5,37,1004.12,"Montania","Nublado","Verano"
38,73,2.5,79,1034.1,"Montania","Lluvioso","Otonio"
34,51,9,40,1009.21,"Costa","Nublado","Primavera"
33,88,19,98,998.8,"Montania","Lluvioso","Otonio"
17,72,20,56,990.4,"Montania","Lluvioso","Verano"
17,69,2,35,1009.83,"Costa","Nublado","Primavera"
17,64,19.5,95,1016.54,"Costa","Lluvioso","Primavera"
34,88,19.5,73,1018.01,"Llanura","Lluvioso","Primavera"
13,77,5,68,1021.09,"Llanura","Nublado","Otonio"
23,35,3.5,12,1028.43,"Llanura","Soleado","Primavera"
16,96,19,57,1003.05,"Llanura","Lluvioso","Primavera"
3,90,9.5,87,997.83,"Montania","Nevado","Invierno"
39,54,0,3,1024.65,"Llanura","Soleado","Otonio"
21,64,19,96,1006.43,"Costa","Lluvioso","Invierno"
38,69,6.5,19,1011.2,"Costa","Soleado","Primavera"
-6,81,19.5,66,995.18,"Llanura","Nevado","Invierno"
10,80,16.5,99,1005.34,"Costa","Lluvioso","Primavera"
23,73,14.5,32,1002.91,"Montania","Nublado","Otonio"
38,21,0,14,960.81,"Montania","Nevado","Otonio"
20,55,2,7,1029.67,"Llanura","Soleado","Primavera"
26,82,18,54,998.36,"Costa","Lluvioso","Otonio"
23,60,19.5,62,1014.54,"Costa","Lluvioso","Invierno"
26,68,4,39,1016.39,"Montania","Nublado","Verano"
10,99,16,58,995.85,"Montania","Lluvioso","Otonio"
20,42,4,13,1028.3,"Montania","Soleado","Otonio"
-2,32,1.5,17,930.32,"Costa","Lluvioso","Invierno"
28,65,13.5,48,1013.19,"Montania","Nublado","Verano"
-10,94,7.5,98,989.37,"Montania","Nevado","Invierno"
41,57,4,19,1025.59,"Costa","Soleado","Primavera"
34,78,14.5,13,1014.07,"Montania","Nublado","Verano"
33,30,9.5,7,1019.11,"Costa","Soleado","Primavera"
28,56,8.5,12,1013.53,"Costa","Nublado","Invierno"
28,77,4.5,68,1175.6,"Costa","Nevado","Otonio"
34,99,34,74,1016.03,"Llanura","Lluvioso","Otonio"
-7,97,4.5,73,987.68,"Montania","Nevado","Invierno"
78,81,8,78,1010.19,"Llanura","Nublado","Otonio"
25,24,9.5,91,834.02,"Llanura","Nevado","Invierno"
31,100,15,90,1019.98,"Costa","Soleado","Verano"
19,97,9,56,1015.74,"Montania","Lluvioso","Primavera"
34,97,17.5,76,1016.2,"Costa","Lluvioso","Verano"
10,80,17,69,1012.7,"Costa","Lluvioso","Verano"
28,76,0.5,16,1018.62,"Llanura","Nublado","Verano"
18,74,0.5,39,1007.53,"Montania","Nublado","Otonio"
32,63,3,46,1006.96,"Llanura","Nublado","Verano"
-7,82,7.5,57,985.06,"Montania","Nevado","Invierno"
